Participants,CUB,HS1,HS2,HS3,FH2,FH3,FH1,FE2,FE1,FE3,SI1,SI2,SI3,SI4,SI5,PU1,PU2,PU3,PEOU1,PEOU2
02MY,91,3,4,4,3,2,1,2,4,2,3,4,2,3,2,4,4,5,4,4
102P,92,2,2,1,1,4,3,3,5,5,1,2,1,3,3,4,5,1,3,5
10AN,83,3,3,3,1,2,1,2,5,4,2,2,1,3,4,5,4,3,5,4
11AV,43,5,5,5,3,3,2,2,4,5,3,1,3,1,3,5,1,2,5,3
11KD,73,3,3,5,1,2,1,1,2,2,2,4,1,3,3,4,3,2,3,4
12JA,84,4,4,2,2,3,2,1,4,1,4,5,1,5,5,5,5,2,5,5
18DA,67.33,5,3,4,3,2,1,2,2,4,3,4,1,1,1,3,3,3,3,2
19AN,61.33,4,4,4,3,3,2,2,2,4,1,2,1,2,4,4,4,1,2,4
19EN,84,4,4,4,2,2,2,1,5,4,3,5,1,2,4,4,4,4,5,4
272W,90.33,3,3,5,4,3,2,1,3,4,2,2,1,1,4,3,4,2,4,4
2.80E+02,87.33,5,5,5,5,5,3,5,5,5,3,4,4,3,3,3,3,3,4,3
302M,98,4,4,5,4,3,3,3,4,4,2,4,1,4,3,5,4,5,5,4
13KU,52,4,4,4,2,2,2,1,3,4,3,5,1,2,4,4,4,2,4,4
152G,84,4,4,5,2,4,2,1,3,3,3,5,2,3,5,4,3,5,5,3
152O,64,4,4,3,1,2,1,3,4,4,3,4,1,3,4,4,3,3,2,4
15SM,60,4,4,3,4,4,3,1,3,3,2,4,1,5,4,5,4,4,5,4
162G,81,5,4,5,4,2,3,2,4,4,4,5,1,3,4,4,4,2,2,4
22MH,77.33,3,3,3,3,3,2,2,3,3,1,1,2,2,2,4,4,1,3,4
252S,83,5,4,4,4,3,2,1,5,4,3,3,1,3,3,3,5,3,5,5
27SI,21,4,4,4,4,3,3,2,3,3,3,3,1,4,3,4,4,4,5,3
28OM,95,4,4,4,2,4,3,2,3,3,3,4,3,4,4,5,5,5,5,5
1362,44.33,3,3,4,2,2,2,1,3,2,3,4,1,3,2,3,4,1,2,4
02TA,100,4,3,4,2,1,1,1,4,3,3,4,1,3,3,3,4,3,4,5
09AU,98.33,4,4,4,3,3,1,1,4,4,3,4,2,4,4,5,4,3,3,5
11SA,69,4,4,5,4,3,5,1,3,4,2,4,1,5,3,4,2,2,3,4
132L,73.67,3,4,3,3,4,4,2,4,2,2,5,2,4,4,3,3,1,2,4
152A,86,4,4,5,1,2,2,2,4,1,2,3,1,4,3,4,3,2,3,4
162W,100,4,4,5,1,2,2,2,4,4,2,4,2,4,3,4,5,2,2,4
192Z,28.67,3,3,2,3,3,2,3,3,3,3,5,2,3,3,4,3,3,3,3
24SA,93,3,3,3,3,4,2,1,3,3,3,5,2,3,4,5,4,3,4,4
25TI,41,3,3,4,1,1,1,1,5,5,4,5,1,3,5,3,3,5,5,3
272L,95,2,3,4,3,4,2,2,5,3,1,4,1,4,3,4,3,3,5,4
15MM,25,3,3,4,3,2,3,2,4,4,2,4,2,4,4,4,4,3,4,4
09A1,58.09,4,4,5,2,3,1,3,4,4,2,4,4,3,4,4,4,2,4,4
06AS,4.33,3,3,4,3,4,2,1,4,4,2,3,1,2,4,4,4,2,4,5
